id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-1,,0,lv-4,0,concrete,,0.61,0.61
sc-2,,0,lv-6,0,concrete,,0.61,0.61
sc-3,,0,lv-6,0,concrete,,0.61,0.61
sc-4,,0,lv-7,0,concrete,,0.61,0.61
sc-5,,0,lv-6,0,concrete,,0.61,0.61
sc-6,,0,lv-6,0,concrete,,0.61,0.61
sc-7,,0,lv-6,0,concrete,,0.61,0.61
sc-8,,0,lv-6,0,concrete,,0.61,0.61
sc-9,,0,lv-4,0,concrete,,0.61,0.61
sc-10,,0,lv-4,0,concrete,,0.61,0.61
sc-11,,0,lv-4,0,concrete,,0.61,0.61
sc-12,,0,lv-27,0,steel,,0.371,0.363
sc-13,,0,lv-27,0,steel,,0.371,0.363
sc-14,,0,lv-27,0,steel,,0.371,0.363
sc-15,,0,lv-27,0,steel,,0.371,0.363
sc-16,,0,lv-27,0,steel,,0.371,0.363
sc-17,,0,lv-27,0,steel,,0.371,0.363
sc-18,,0,lv-27,0,steel,,0.371,0.363
sc-19,,0,lv-27,0,steel,,0.254,0.254
sc-20,,0,lv-27,0,steel,,0.254,0.254
sc-21,,0,lv-27,0,steel,,0.371,0.363
sc-22,,0,lv-27,0,steel,,0.254,0.254
sc-23,,0,lv-27,0,steel,,0.254,0.254
sc-24,,0,lv-14,1.219,steel,,0.287,0.483
sc-25,,0,lv-27,0,steel,,0.254,0.254
sc-26,,0,lv-27,0,steel,,0.254,0.254
sc-27,,0,lv-27,0,steel,,0.371,0.363
sc-28,,0,lv-27,0,steel,,0.254,0.254
sc-29,,0,lv-14,1.219,steel,,0.287,0.483
sc-30,,0,lv-18,0,steel,,0.371,0.363
sc-31,,0,lv-27,-1.511,steel,,0.371,0.363
sc-32,,0,lv-27,-1.511,steel,,0.371,0.363
sc-33,,0,lv-18,0,steel,,0.371,0.363
sc-34,,0,lv-18,0,steel,,0.371,0.363
sc-35,,0,lv-18,0,steel,,0.371,0.363
sc-36,,0,lv-18,0,steel,,0.371,0.363
sc-37,,0,lv-10,0,steel,,12.832,
sc-38,,0,lv-18,0,steel,,0.254,0.254
sc-39,,0,lv-14,1.219,steel,,0.371,0.363
sc-40,,0,lv-27,-2.047,steel,,0.254,0.254
sc-41,,0,lv-27,-2.035,steel,,0.254,0.254
sc-42,,0,lv-27,0,steel,,0.254,0.254
sc-43,,0,lv-27,0,steel,,0.254,0.254
sc-44,,0,lv-27,0,steel,,0.254,0.254
sc-45,,0,lv-6,0,concrete,,0.61,0.61
sc-46,,0,lv-6,0,concrete,,0.61,0.61
sc-47,,0,lv-18,0,steel,,0.254,0.254
