id,number,base_offset,top_level_id,top_offset,material,thickness
sw-1,,0,lv-32,0,concrete,0.254
sw-2,,0,lv-32,0,concrete,0.254
sw-3,,0,lv-4,0,concrete,0.254
sw-4,,0,lv-32,0,concrete,0.305
sw-5,,0,lv-32,0,concrete,0.254
sw-6,,0,lv-32,0,concrete,0.254
sw-7,,0,lv-32,0,concrete,0.254
sw-8,,0,lv-32,0,concrete,0.254
sw-9,,0,lv-32,0,concrete,0.305
sw-10,,0,lv-32,0,concrete,0.305
sw-11,,0,lv-32,0,concrete,0.305
sw-12,,-1.803,lv-32,0,concrete,0.305
sw-13,,-1.803,lv-32,0,concrete,0.305
sw-14,,-1.054,lv-32,0,concrete,0.305
sw-15,,-1.054,lv-32,0,concrete,0.305
sw-16,,-1.054,lv-32,0,concrete,0.305
sw-17,,0,lv-7,0,concrete,0.305
sw-18,,0,lv-7,0,concrete,0.305
sw-19,,0,lv-7,0,concrete,0.457
sw-20,,0,lv-32,0,concrete,0.305
sw-21,,0,lv-7,-1.054,concrete,0.305
sw-22,,0,lv-7,-1.054,concrete,0.457
sw-23,,0,lv-32,0,concrete,0.305
sw-24,,0,lv-32,0,concrete,0.305
sw-25,,0,lv-32,0,concrete,0.305
sw-26,,0,lv-32,0,concrete,0.305
sw-27,,0,lv-4,0,concrete,0.61
sw-28,,0,lv-7,0,concrete,0.61
sw-29,,0,lv-4,0,concrete,0.61
sw-30,,0,lv-4,0,concrete,0.61
sw-31,,0,lv-6,0,concrete,0.61
sw-32,,0,lv-6,0,concrete,0.61
sw-33,,0,lv-7,0,concrete,0.61
sw-34,,0,lv-7,0,concrete,0.61
sw-35,,0,lv-6,0,concrete,0.61
sw-36,,0,lv-7,-1.054,concrete,0.61
sw-37,,0,lv-4,0,concrete,0.457
sw-38,,0,lv-4,0,concrete,0.305
sw-39,,0,lv-6,0,concrete,0.61
sw-40,,0,lv-4,0,concrete,0.457
sw-41,,0,lv-4,0,concrete,0.61
sw-42,,0,lv-6,0,concrete,0.457
sw-43,,0,lv-6,0,concrete,0.457
sw-44,,0,lv-6,0,concrete,0.254
sw-45,,0,lv-6,0,concrete,0.254
sw-46,,0,lv-6,0,concrete,0.457
sw-47,,0,lv-4,0,concrete,0.254
sw-48,,0,lv-4,0,concrete,0.61
sw-49,,0,lv-32,0,concrete,0.254
sw-50,,0,lv-7,0,concrete,0.305
