id,number,base_offset,top_level_id,top_offset,material,thickness
w-1,,0,lv-14,-0.025,steel,0.346
w-2,,0,lv-32,0,concrete,0.305
w-3,,0,lv-19,0,composite,0.321
w-4,,-0.152,lv-7,0,concrete,0.61
w-5,,-0.152,lv-6,0,concrete,0.61
w-6,,-0.152,lv-6,0,concrete,0.61
w-7,,-0.152,lv-7,-0.508,concrete,0.61
w-8,,0,lv-31,0,steel,0.108
w-9,,-0.152,lv-7,0,concrete,0.305
w-10,,-0.152,lv-7,0,concrete,0.457
w-11,,0,lv-32,0,concrete,0.305
w-12,,0,lv-32,0,concrete,0.305
w-13,,0,lv-11,0,steel,0.298
w-14,,0,lv-11,-0.762,steel,0.321
w-15,,0,lv-11,0,steel,0.298
w-16,,0,lv-11,-0.762,steel,0.321
w-17,,0,lv-11,0,steel,0.321
w-18,,0,lv-11,0,steel,0.321
w-19,,0,lv-11,-0.762,steel,0.321
w-20,,0,lv-32,0,concrete,0.254
w-21,,-0.152,lv-6,0,concrete,0.61
w-22,,0,lv-14,0,concrete,0.305
w-23,,-0.152,lv-7,0,concrete,0.305
w-24,,0,lv-19,0,steel,0.298
w-25,,0,lv-14,-0.737,steel,0.168
w-26,,0,lv-14,-0.152,concrete,0.305
w-27,,0,lv-14,-0.152,composite,0.137
w-28,,-0.152,lv-6,0,concrete,0.61
w-29,,-0.152,lv-6,0,concrete,0.61
w-30,,0,lv-14,0,steel,0.371
w-31,,0,lv-32,0,concrete,0.305
w-32,,0,lv-30,0,steel,0.321
w-33,,0,lv-28,0,steel,0.298
w-34,,0,lv-23,0,steel,0.321
w-35,,0,lv-30,0,steel,0.321
w-36,,0,lv-6,0,concrete,0.457
w-37,,0,lv-6,0,concrete,0.254
w-38,,0,lv-6,0,concrete,0.254
w-39,,0,lv-11,-0.152,steel,0.184
w-40,,0,lv-6,0,concrete,0.457
w-41,,-0.762,lv-28,0,steel,0.298
w-42,,0,lv-32,0,concrete,0.254
w-43,,0,lv-9,-0.152,steel,0.156
w-44,,0,lv-14,-0.152,steel,0.26
w-45,,0,lv-11,-0.94,steel,0.321
w-46,,0,lv-11,-1.549,steel,0.321
w-47,,0,lv-9,-0.152,steel,0.184
w-48,,0,lv-9,-0.152,steel,0.124
w-49,,0,lv-9,-0.152,steel,0.124
w-50,,0,lv-9,-0.152,steel,0.124
w-51,,0,lv-11,-0.152,steel,0.124
w-52,,0,lv-11,-0.152,steel,0.124
w-53,,0,lv-19,0,steel,0.298
w-54,,0,lv-19,0,steel,0.298
w-55,,0,lv-19,0,steel,0.298
w-56,,0,lv-32,0,concrete,0.305
w-57,,0,lv-28,-0.152,steel,0.156
w-58,,0,lv-28,0,steel,0.156
w-59,,0,lv-28,-0.152,steel,0.156
w-60,,0,lv-24,0,steel,0.321
w-61,,0,lv-24,0,steel,0.321
w-62,,0,lv-32,0,steel,0.26
w-63,,0,lv-32,0,steel,0.26
w-64,,0,lv-32,0,steel,0.26
w-65,,0,lv-32,0,concrete,0.254
w-66,,0,lv-32,0,concrete,0.254
w-67,,0,lv-32,0,concrete,0.254
w-68,,0,lv-32,0,concrete,0.254
w-69,,0,lv-32,0,concrete,0.254
w-70,,0,lv-28,0,steel,0.298
w-71,,0,lv-28,0,steel,0.298
w-72,,0,lv-7,0,concrete,0.194
w-73,,0,lv-32,0,concrete,0.305
w-74,,0,lv-31,0,steel,0.184
w-75,,0,lv-31,0,steel,0.124
w-76,,0,lv-32,0,steel,0.26
w-77,,0,lv-32,0,steel,0.26
w-78,,0,lv-32,0,steel,0.26
w-79,,-0.152,lv-24,0.368,steel,0.216
w-80,,-0.152,lv-7,0,concrete,0.61
w-81,,-0.152,lv-6,0,concrete,0.457
w-82,,-0.152,lv-6,0,concrete,0.305
w-83,,0,lv-11,0,concrete,0.305
w-84,,0,lv-11,0,concrete,0.305
w-85,,0,lv-11,0,concrete,0.305
w-86,,0,lv-32,0,concrete,0.305
w-87,,0,lv-32,0,concrete,0.305
w-88,,0,lv-28,-0.152,steel,0.156
w-89,,0,lv-28,-0.152,steel,0.156
w-90,,0,lv-11,-0.152,steel,0.156
w-91,,0,lv-28,-0.152,steel,0.156
w-92,,2.438,lv-28,-0.152,steel,0.156
w-93,,0,lv-32,0,steel,0.26
w-94,,0,lv-32,0,steel,0.26
