id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-279,,,9.042,9.042,round,0.203,0.203,Supply Air,,
du-280,,,9.042,9.042,round,0.203,0.203,Return Air,,
du-281,,,9.042,9.042,round,0.203,0.203,Return Air,,
du-282,,,9.042,9.042,round,0.102,0.102,Exhaust Air,,
du-283,,,9.042,9.042,round,0.102,0.102,Exhaust Air,,
du-284,,,9.042,9.042,round,0.102,0.102,Supply Air,,
du-285,,,9.042,9.042,round,0.102,0.102,Supply Air,,
du-286,,,9.042,9.042,round,0.102,0.102,Supply Air,,
du-287,,,8.966,8.915,round,0.102,0.102,Supply Air,,
du-288,,,9.119,9.318,round,0.102,0.102,Supply Air,,
du-289,,,9.394,9.394,round,0.102,0.102,Supply Air,,
du-290,,,8.839,8.839,round,0.102,0.102,Supply Air,,
du-291,,,8.839,8.839,round,0.102,0.102,Supply Air,,
du-292,,,8.839,8.839,round,0.102,0.102,Supply Air,,
du-293,,,8.839,8.839,round,0.102,0.102,Supply Air,,
du-294,,,8.915,9.318,round,0.102,0.102,Supply Air,,
du-295,,,9.042,9.042,round,0.203,0.203,Supply Air,,
du-296,,,9.042,9.042,round,0.203,0.203,Supply Air,,
du-297,,,8.693,8.693,round,0.203,0.203,Supply Air,,
du-298,,,8.693,8.693,round,0.203,0.203,Supply Air,,
du-299,,,8.693,8.693,round,0.203,0.203,Supply Air,,
du-300,,,8.846,8.89,round,0.203,0.203,Supply Air,,
du-301,,,9.398,9.398,round,0.102,0.102,Exhaust Air,,
du-302,,,9.398,9.398,round,0.102,0.102,Exhaust Air,,
du-303,,,9.398,9.398,round,0.102,0.102,Supply Air,,
du-304,,,9.398,9.398,round,0.102,0.102,Supply Air,,
du-305,,,9.398,9.398,round,0.102,0.102,Exhaust Air,,
du-306,,,9.398,9.398,round,0.102,0.102,Supply Air,,
du-307,,,9.322,9.078,round,0.102,0.102,Exhaust Air,,
du-308,,,9.002,9.002,round,0.102,0.102,Exhaust Air,,
du-309,,,9.078,9.454,round,0.102,0.102,Exhaust Air,,
du-310,,,9.53,9.53,round,0.102,0.102,Exhaust Air,,
du-311,,,9.55,9.55,round,0.102,0.102,Supply Air,,
du-312,,,9.474,9.104,round,0.102,0.102,Supply Air,,
du-313,,,9.027,9.027,round,0.102,0.102,Supply Air,,
du-314,,,9.398,9.398,round,0.102,0.102,Supply Air,,
du-315,,,9.342,9.314,round,0.102,0.102,Supply Air,,
du-316,,,9.255,9.104,round,0.102,0.102,Supply Air,,
du-317,,,9.55,9.55,round,0.102,0.102,Supply Air,,
du-318,,,9.472,9.176,round,0.102,0.102,Supply Air,,
du-319,,,9.53,9.53,round,0.102,0.102,Exhaust Air,,
du-320,,,9.53,9.53,round,0.102,0.102,Exhaust Air,,
du-321,,,9.485,9.15,round,0.102,0.102,Exhaust Air,,
du-322,,,9.042,9.042,round,0.102,0.102,Exhaust Air,,
du-323,,,9.398,9.398,round,0.203,0.203,Supply Air,,
du-324,,,9.398,9.398,round,0.203,0.203,Supply Air,,
du-325,,,9.246,9.093,round,0.203,0.203,Supply Air,,
du-326,,,8.941,8.941,round,0.203,0.203,Supply Air,,
du-327,,,9.246,9.093,round,0.203,0.203,Supply Air,,
du-328,,,9.246,9.078,round,0.203,0.203,Supply Air,,
du-329,,,9.398,9.398,round,0.203,0.203,Supply Air,,
du-330,,,9.093,9.093,round,0.203,0.203,Return Air,,
du-331,,,9.093,9.093,round,0.203,0.203,Return Air,,
du-332,,,9.093,9.093,round,0.203,0.203,Return Air,,
du-333,,,9.398,9.398,round,0.203,0.203,Return Air,,
du-334,,,8.941,8.941,round,0.203,0.203,Return Air,,
du-335,,,9.246,9.093,round,0.203,0.203,Return Air,,
du-336,,,9.052,8.982,round,0.203,0.203,Return Air,,
du-337,,,8.89,8.89,round,0.203,0.203,Return Air,,
du-338,,,8.89,8.89,round,0.203,0.203,Supply Air,,
du-339,,,8.89,8.89,round,0.102,0.102,Exhaust Air,,
du-340,,,8.89,8.89,round,0.102,0.102,Supply Air,,
du-341,,,8.89,8.89,round,0.102,0.102,Exhaust Air,,
du-342,,,8.89,8.89,round,0.102,0.102,Exhaust Air,,
du-343,,,8.89,8.89,round,0.102,0.102,Supply Air,,
du-344,,,8.89,8.89,round,0.102,0.102,Supply Air,,
du-345,,,9.169,9.169,round,0.102,0.102,Exhaust Air,,
du-346,,,8.89,8.89,round,0.102,0.102,Exhaust Air,,
du-347,,,9.119,9.119,round,0.203,0.203,Supply Air,,
du-348,,,9.134,9.134,round,0.203,0.203,Return Air,,
du-349,,,9.134,9.134,round,0.203,0.203,Return Air,,
du-350,,,9.044,8.979,round,0.203,0.203,Return Air,,
du-351,,,8.965,9.425,round,0.102,0.102,Supply Air,,
du-352,,,9.5,9.5,round,0.102,0.102,Supply Air,,
du-353,,,9.405,8.985,round,0.102,0.102,Supply Air,,
du-354,,,9.134,9.134,round,0.203,0.203,Return Air,,
du-355,,,9.134,9.134,round,0.203,0.203,Return Air,,
du-356,,,8.979,9.029,round,0.203,0.203,Supply Air,,
du-357,,,9.119,9.119,round,0.203,0.203,Supply Air,,
du-358,,,9.169,9.169,round,0.102,0.102,Exhaust Air,,
du-359,,,8.924,9.152,round,0.102,0.102,Exhaust Air,,
du-360,,,9.125,8.935,round,0.102,0.102,Exhaust Air,,
du-361,,,8.903,8.903,round,0.203,0.203,Supply Air,,
du-362,,,9.119,9.119,round,0.203,0.203,Supply Air,,
du-363,,,9.119,9.119,round,0.203,0.203,Supply Air,,
