id,number,base_offset,material,function,thickness
sl-69,,0,steel,floor,0.006
sl-70,,0,steel,floor,0.006
sl-71,,2.924,steel,floor,0.111
sl-72,,2.924,steel,floor,0.111
sl-73,,0,concrete,floor,0.152
sl-74,,0,concrete,floor,0.152
sl-75,,0,steel,floor,0.006
sl-76,,-0.051,concrete,floor,0.102
sl-77,,-0.051,concrete,floor,0.102
sl-78,,0,concrete,floor,0.152
sl-79,,0,concrete,floor,0.152
sl-80,,0,concrete,floor,0.152
sl-81,,2.924,steel,floor,0.111
sl-82,,2.924,steel,floor,0.111
sl-83,,2.924,steel,floor,0.111
sl-84,,2.924,steel,floor,0.111
sl-85,,0,concrete,floor,0.152
sl-86,,0,concrete,floor,0.152
sl-87,,0,concrete,floor,0.152
sl-88,,0,concrete,floor,0.152
sl-89,,0,concrete,floor,0.152
sl-90,,0,concrete,floor,0.152
sl-91,,0,concrete,floor,0.152
sl-92,,0,concrete,floor,0.152
sl-93,,0,concrete,floor,0.152
sl-94,,0,concrete,floor,0.152
