id,number,base_offset,system_type,equipment_type
eq-24,HRU409,3.095,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-25,HRU407,3.095,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-26,HRU403,3.095,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-27,HRU401A,3.451,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-28,HRU401B,3.502,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-29,HRU404,3.502,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-30,HRU408,2.994,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-31,HRU410,3.146,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-64,8,0,,
eq-65,13,-0,,
eq-66,14,0,,
eq-67,161,0,,
eq-68,162,0,,
eq-69,163,0,,
eq-70,164,0,,
eq-71,165,0,,
eq-72,182,0,,
eq-73,186,2.845,,
eq-74,190,-0,,
