id,number,base_offset,system_type
mn-823,,3.251,Supply Air
mn-824,,3.658,Supply Air
mn-825,,3.251,Supply Air
mn-826,,3.251,Supply Air
mn-827,,3.251,Supply Air
mn-828,,3.658,Supply Air
mn-829,,3.607,Supply Air
mn-830,,3.607,Supply Air
mn-831,,3.607,Supply Air
mn-832,,3.658,Supply Air
mn-833,,3.251,Supply Air
mn-834,,3.251,Supply Air
mn-835,,3.251,Supply Air
mn-836,,3.251,Supply Air
mn-837,,3.251,Supply Air
mn-838,,3.658,Supply Air
mn-839,,3.658,Supply Air
mn-840,,3.251,Supply Air
mn-841,,3.251,Supply Air
mn-842,,3.251,Supply Air
mn-843,,3.251,Supply Air
mn-844,,2.856,Supply Air
mn-845,,2.856,Supply Air
mn-846,,2.856,Supply Air
mn-847,,3.251,Supply Air
mn-848,,2.856,Supply Air
mn-849,,2.856,Supply Air
mn-850,,2.856,Supply Air
mn-851,,3.251,Supply Air
mn-852,,2.856,Supply Air
mn-853,,2.856,Supply Air
mn-854,,2.856,Supply Air
mn-855,,3.251,Supply Air
mn-856,,3.251,Supply Air
mn-857,,3.251,Return Air
mn-858,,3.251,Return Air
mn-859,,3.251,Return Air
mn-860,,3.658,Return Air
mn-861,,3.251,Return Air
mn-862,,3.251,Return Air
mn-863,,3.607,Return Air
mn-864,,3.607,Return Air
mn-865,,3.607,Return Air
mn-866,,3.251,Return Air
mn-867,,3.251,Return Air
mn-868,,3.251,Return Air
mn-869,,3.251,Return Air
mn-870,,3.251,Return Air
mn-871,,3.658,Exhaust Air
mn-872,,3.302,Exhaust Air
mn-873,,3.658,Supply Air
mn-874,,3.302,Supply Air
mn-875,,3.302,Exhaust Air
mn-876,,3.607,Exhaust Air
mn-877,,3.302,Supply Air
mn-878,,3.607,Supply Air
mn-879,,3.658,Exhaust Air
mn-880,,3.658,Supply Air
mn-881,,3.658,Exhaust Air
mn-882,,3.658,Supply Air
mn-883,,3.658,Exhaust Air
mn-884,,3.262,Exhaust Air
mn-885,,3.262,Exhaust Air
mn-886,,3.79,Exhaust Air
mn-887,,3.658,Supply Air
mn-888,,3.81,Supply Air
mn-889,,3.287,Supply Air
mn-890,,3.287,Supply Air
mn-891,,3.658,Supply Air
mn-892,,3.546,Supply Air
mn-893,,3.81,Supply Air
mn-894,,3.81,Supply Air
mn-895,,3.79,Exhaust Air
mn-896,,3.79,Exhaust Air
mn-897,,3.79,Exhaust Air
mn-898,,3.302,Exhaust Air
mn-899,,3.658,Supply Air
mn-900,,3.2,Supply Air
mn-901,,3.658,Supply Air
mn-902,,3.2,Supply Air
mn-903,,3.658,Supply Air
mn-904,,3.277,Supply Air
mn-905,,2.472,Supply Air
mn-906,,3.658,Supply Air
mn-907,,3.353,Return Air
mn-908,,3.353,Return Air
mn-909,,3.353,Return Air
mn-910,,3.658,Return Air
mn-911,,3.2,Return Air
mn-912,,3.353,Return Air
mn-913,,3.2,Return Air
mn-914,,3.15,Exhaust Air
mn-915,,3.15,Exhaust Air
mn-916,,3.15,Supply Air
mn-917,,3.15,Supply Air
mn-918,,3.15,Exhaust Air
mn-919,,3.429,Exhaust Air
mn-920,,3.378,Supply Air
mn-921,,3.378,Supply Air
mn-922,,3.378,Supply Air
mn-923,,3.393,Return Air
mn-924,,3.393,Return Air
mn-925,,3.15,Return Air
mn-926,,3.759,Supply Air
mn-927,,3.759,Supply Air
mn-928,,3.15,Supply Air
mn-929,,3.393,Return Air
mn-930,,3.393,Return Air
mn-931,,3.393,Return Air
mn-932,,3.15,Supply Air
mn-933,,3.378,Supply Air
mn-934,,3.15,Exhaust Air
mn-935,,3.429,Exhaust Air
mn-936,,3.429,Exhaust Air
mn-937,,3.162,Supply Air
mn-938,,3.378,Supply Air
mn-939,,3.162,Supply Air
mn-940,,3.15,Supply Air
mn-941,,2.705,Supply Air
mn-942,,2.472,Supply Air
mn-943,,3.505,Return Air
mn-944,,3.302,Return Air
mn-945,,3.505,Return Air
mn-946,,3.505,Return Air
mn-947,,3.505,Return Air
mn-948,,3.302,Supply Air
mn-949,,3.302,Supply Air
mn-950,,2.718,Supply Air
mn-951,,2.472,Supply Air
mn-952,,3.045,Supply Air
mn-953,,3.045,Supply Air
mn-954,,3.302,Exhaust Air
mn-955,,3.81,Exhaust Air
mn-956,,3.024,Exhaust Air
mn-957,,3.302,Exhaust Air
mn-958,,3.024,Exhaust Air
mn-959,,3.81,Exhaust Air
mn-960,,3.302,Exhaust Air
mn-961,,3.302,Supply Air
mn-962,,3.302,Supply Air
mn-963,,3.302,Supply Air
mn-964,,3.81,Supply Air
mn-965,,3.81,Supply Air
mn-966,,3.302,Return Air
mn-967,,3.302,Return Air
mn-968,,3.302,Supply Air
mn-969,,3.302,Exhaust Air
mn-970,,3.302,Supply Air
mn-971,,3.302,Supply Air
mn-972,,3.302,Supply Air
mn-973,,3.654,Supply Air
mn-974,,3.099,Supply Air
mn-975,,3.099,Supply Air
mn-976,,3.099,Supply Air
mn-977,,3.099,Supply Air
mn-978,,3.099,Supply Air
mn-979,,3.654,Supply Air
mn-980,,3.302,Exhaust Air
mn-981,,3.302,Supply Air
mn-982,,2.953,Supply Air
mn-983,,2.953,Supply Air
mn-984,,2.953,Supply Air
mn-985,,3.302,Supply Air
mn-986,,3.302,Exhaust Air
mn-987,,2.953,Supply Air
mn-988,,3.15,Exhaust Air
mn-989,,3.302,Exhaust Air
mn-990,,3.302,Supply Air
mn-991,,3.045,Supply Air
mn-992,,3.302,Supply Air
mn-993,,3.302,Supply Air
mn-994,,3.302,Supply Air
mn-995,,3.302,Supply Air
mn-996,,3.15,Supply Air
mn-997,,3.302,Supply Air
mn-3438,,3.048,Exhaust Air
mn-3439,,3.048,Exhaust Air
mn-3440,,3.048,Exhaust Air
mn-3441,,3.048,Exhaust Air
mn-3442,,3.048,Exhaust Air
mn-3443,,3.048,Exhaust Air
mn-3444,,3.048,Exhaust Air
mn-3445,,3.048,Exhaust Air
mn-3446,,3.048,Exhaust Air
mn-3447,,3.048,Exhaust Air
mn-3448,,3.048,Exhaust Air
mn-3449,,3.048,Exhaust Air
mn-3450,,3.048,Exhaust Air
mn-3451,,1.848,Exhaust Air
mn-3452,,1.848,Exhaust Air
mn-3453,,2.286,Exhaust Air
mn-3454,,3.2,Sanitary
mn-3455,,-0.457,Sanitary
mn-3456,,3.2,Sanitary
mn-3457,,3.2,Sanitary
mn-3458,,1.092,Domestic Hot Water
mn-3459,,3.331,Domestic Hot Water
mn-3460,,1.092,Domestic Hot Water
mn-3461,,1.092,Domestic Hot Water
mn-3462,,3.331,Domestic Hot Water
mn-3463,,3.331,Domestic Hot Water
mn-3464,,0.457,Domestic Hot Water
mn-3465,,0.457,Domestic Hot Water
mn-3466,,-0.584,Sanitary
mn-3467,,-12.349,Sanitary
mn-3468,,-13.524,Sanitary
mn-3469,,-13.704,Sanitary
mn-3470,,-12.406,Sanitary
mn-3471,119,-8.788,Sanitary
mn-3472,,-8.788,Sanitary
mn-3473,,-9.68,Sanitary
mn-3474,,-9.568,Sanitary
mn-3475,,-9.331,Sanitary
mn-3476,,-14.614,Sanitary
mn-3477,,-0.305,Sanitary
mn-3478,,-0.305,Sanitary
mn-3479,,-0.305,Sanitary
mn-3480,,-0.406,Sanitary
mn-3481,,-0.366,Sanitary
mn-3482,,-1.072,Sanitary
mn-3483,,-0.982,Sanitary
mn-3484,,-0.406,Sanitary
mn-3485,,0.203,Sanitary
mn-3486,,0.203,Sanitary
mn-3487,,-0.61,Sanitary
mn-3488,,0.203,Sanitary
mn-3489,,-0.762,Sanitary
mn-3490,,-0.762,Sanitary
mn-3491,,0.203,Sanitary
mn-3492,,-0.61,Sanitary
mn-3493,,0.203,Sanitary
mn-3494,,0.203,Sanitary
mn-3495,,-0.762,Sanitary
mn-3496,,-0.61,Sanitary
mn-3497,,-0.762,Sanitary
mn-3498,,-0.305,Sanitary
mn-3499,,-0.305,Sanitary
mn-3500,,0.203,Sanitary
mn-3501,,-0.406,Sanitary
mn-3502,,-0.406,Sanitary
mn-3503,,-0.406,Sanitary
mn-3504,,-0.406,Sanitary
mn-3505,,-0.406,Sanitary
mn-3506,,-0.406,Sanitary
mn-3507,,-0.406,Sanitary
mn-3508,,2.797,Sanitary
mn-3509,,3.252,Sanitary
mn-3510,,3.557,Sanitary
mn-3511,,8.534,Sanitary
mn-3512,,0.203,Sanitary
mn-3513,,0.203,Sanitary
mn-3514,,2.743,Sanitary
mn-3515,,3.34,Domestic Cold Water
mn-3516,,3.467,Domestic Cold Water
mn-3517,,3.467,Domestic Cold Water
mn-3518,,3.467,Domestic Cold Water
mn-3519,,3.34,Domestic Cold Water
mn-3520,,3.34,Domestic Cold Water
mn-3521,,3.467,Domestic Cold Water
mn-3522,,0.711,Domestic Cold Water
mn-3523,,0.711,Domestic Cold Water
mn-3524,,0.711,Domestic Cold Water
mn-3525,,0.457,Domestic Cold Water
mn-3526,,0.203,Domestic Cold Water
mn-3527,,0.203,Domestic Cold Water
mn-3528,,0.457,Domestic Cold Water
mn-3529,,3.48,Domestic Cold Water
mn-3530,,3.48,Domestic Cold Water
mn-3531,,0.457,Domestic Hot Water
mn-3532,,0.508,Domestic Cold Water
mn-3533,,0.508,Domestic Cold Water
mn-3534,,0.508,Domestic Cold Water
mn-3535,,0.508,Domestic Cold Water
mn-3536,,0.508,Domestic Cold Water
mn-3537,,0.508,Domestic Cold Water
mn-3538,,0.406,Domestic Cold Water
mn-3539,,0.406,Domestic Cold Water
mn-3540,,0.406,Domestic Cold Water
mn-3541,,0.356,Domestic Hot Water
mn-3542,,0.457,Domestic Hot Water
mn-3543,,0.457,Domestic Hot Water
mn-3544,,0.356,Domestic Hot Water
mn-3545,,0.356,Domestic Hot Water
mn-3546,,0.406,Domestic Cold Water
mn-3547,,0.356,Domestic Hot Water
mn-3548,,0.356,Domestic Hot Water
mn-3549,,-0.279,Domestic Hot Water
mn-3550,,-0.279,Domestic Hot Water
mn-3551,,0.406,Domestic Cold Water
mn-3552,,-0.229,Domestic Cold Water
mn-3553,,-0.229,Domestic Cold Water
mn-3554,,0.533,Domestic Hot Water
mn-3555,,0.584,Domestic Cold Water
mn-3556,,0.735,Domestic Cold Water
mn-3557,,0.584,Domestic Cold Water
mn-3558,,0.533,Domestic Hot Water
mn-3559,,0.203,Domestic Cold Water
mn-3560,,0.508,Domestic Cold Water
mn-3561,,0.457,Domestic Hot Water
mn-3562,,0.457,Domestic Hot Water
mn-3563,,0.457,Domestic Hot Water
mn-3564,,0.457,Domestic Hot Water
mn-3565,,0.406,Domestic Hot Water
mn-3566,,0.406,Domestic Hot Water
mn-3567,,0.406,Domestic Hot Water
mn-3568,,1.067,Domestic Hot Water
mn-3569,,0.381,Domestic Cold Water
mn-3570,,0.991,Domestic Cold Water
mn-3571,,0.508,Domestic Cold Water
mn-3572,,0.615,Domestic Cold Water
mn-3573,,0.615,Domestic Cold Water
mn-3574,,1.067,Domestic Cold Water
mn-3575,,0.991,Domestic Cold Water
mn-3576,,0.991,Domestic Cold Water
mn-3577,,0.991,Domestic Cold Water
mn-3578,,1.067,Domestic Cold Water
mn-3579,,1.067,Domestic Hot Water
mn-3580,,0.559,Domestic Cold Water
mn-3581,,0.559,Domestic Cold Water
mn-3582,,0.559,Domestic Cold Water
mn-3583,,1.067,Domestic Cold Water
mn-3584,,0.888,Domestic Cold Water
mn-3585,,0.888,Domestic Cold Water
mn-3586,,3.48,Domestic Cold Water
mn-3587,,0.636,Domestic Cold Water
mn-3588,,0.636,Domestic Cold Water
mn-3589,,0.457,Domestic Cold Water
mn-3590,,0.457,Domestic Hot Water
mn-3591,,1.067,Domestic Hot Water
mn-3592,,0.406,Domestic Cold Water
mn-3593,,0.428,Domestic Cold Water
mn-3594,,0.406,Domestic Cold Water
mn-3595,,0.406,Domestic Cold Water
mn-3596,,0.508,Domestic Hot Water
mn-3597,,0.508,Domestic Hot Water
mn-3598,,0.508,Domestic Hot Water
mn-3599,,0.508,Domestic Hot Water
mn-3600,,0.406,Domestic Cold Water
mn-3601,,0.406,Domestic Cold Water
mn-3602,,0.508,Domestic Hot Water
mn-3603,,0.508,Domestic Hot Water
mn-3604,,0.406,Domestic Cold Water
mn-3605,,0.406,Domestic Cold Water
mn-3606,,-0.229,Domestic Hot Water
mn-3607,,-0.229,Domestic Hot Water
mn-3608,,-0.254,Domestic Cold Water
mn-3609,,-0.254,Domestic Cold Water
mn-3610,,0.457,Domestic Hot Water
mn-3611,,0.457,Domestic Cold Water
mn-3612,,0.406,Domestic Cold Water
mn-3613,,0.406,Domestic Cold Water
mn-3614,,0.457,Domestic Hot Water
