id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-2642,,,13.784,13.402,round,0.102,0.102,Sanitary,,
pi-2643,,,13.784,13.402,round,0.102,0.102,Sanitary,,
pi-2644,,,17.848,17.212,round,0.102,0.102,Sanitary,,
pi-2645,,,17.069,17.069,round,0.102,0.102,Sanitary,,
pi-2646,,,17.069,17.069,round,0.102,0.102,Sanitary,,
pi-2647,,,13.511,16.926,round,0.102,0.102,Sanitary,,
pi-2648,,,17.069,17.069,round,0.102,0.102,Sanitary,,
pi-2649,,,13.118,13.34,round,0.102,0.102,Sanitary,,
pi-2650,,,17.069,17.069,round,0.051,0.051,Sanitary,,
pi-2651,,,15.062,14.975,round,0.013,0.013,Domestic Hot Water,,
pi-2652,,,14.961,14.961,round,0.013,0.013,Domestic Hot Water,,
pi-2653,,,17.185,14.975,round,0.013,0.013,Domestic Hot Water,,
pi-2654,,,17.2,17.2,round,0.013,0.013,Domestic Hot Water,,
pi-2655,,,14.961,14.961,round,0.013,0.013,Domestic Hot Water,,
pi-2656,,,17.2,17.2,round,0.013,0.013,Domestic Hot Water,,
pi-2657,,,14.326,14.326,round,0.013,0.013,Domestic Hot Water,,
pi-2658,,,14.326,14.326,round,0.013,0.013,Domestic Hot Water,,
pi-2659,,,17.185,14.34,round,0.013,0.013,Domestic Hot Water,,
pi-2660,,,13.527,13.427,round,0.102,0.102,Sanitary,,
pi-2661,,,14.173,14.173,round,0.051,0.051,Sanitary,,
pi-2662,,,13.259,13.259,round,0.102,0.102,Sanitary,,
pi-2663,,,1.516,1.517,round,0.102,0.102,Sanitary,,
pi-2664,,,1.32,0.445,round,0.102,0.102,Sanitary,,
pi-2665,,,1.813,1.663,round,0.102,0.102,Sanitary,,
pi-2666,,,0.274,0.235,round,0.102,0.102,Sanitary,,
pi-2667,,,1.573,4.046,round,0.102,0.102,Sanitary,,
pi-2668,,,5.08,5.08,round,0.102,0.102,Sanitary,,
pi-2669,,,4.676,4.637,round,0.102,0.102,Sanitary,,
pi-2670,,,4.401,4.466,round,0.102,0.102,Sanitary,,
pi-2671,,,4.224,4.264,round,0.102,0.102,Sanitary,,
pi-2672,,,0.065,-0.603,round,0.102,0.102,Sanitary,,
pi-2673,,,-0.879,-0.749,round,0.102,0.102,Sanitary,,
pi-2674,,,4.978,4.929,round,0.102,0.102,Sanitary,,
pi-2675,,,14.038,13.597,round,0.051,0.051,Sanitary,,
pi-2676,,,13.542,14.038,round,0.051,0.051,Sanitary,,
pi-2677,,,12.905,13.452,round,0.051,0.051,Sanitary,,
pi-2678,,,13.564,13.564,round,0.051,0.051,Sanitary,,
pi-2679,,,13.564,13.564,round,0.051,0.051,Sanitary,,
pi-2680,,,13.489,13.464,round,0.051,0.051,Sanitary,,
pi-2681,,,13.462,13.462,round,0.051,0.051,Sanitary,,
pi-2682,,,13.562,13.516,round,0.051,0.051,Sanitary,,
pi-2683,,,14.038,13.597,round,0.051,0.051,Sanitary,,
pi-2684,,,14.072,14.072,round,0.051,0.051,Sanitary,,
pi-2685,,,14.072,14.072,round,0.051,0.051,Sanitary,,
pi-2686,,,14.072,14.072,round,0.051,0.051,Sanitary,,
pi-2687,,,13.259,13.259,round,0.102,0.102,Sanitary,,
pi-2688,,,14.072,14.072,round,0.051,0.051,Sanitary,,
pi-2689,,,14.072,14.072,round,0.051,0.051,Sanitary,,
