id,number,base_offset,host_id,position,material,width,height
wn-86,99,0.914,w-282,0.25,glass,1.27,1.524
wn-87,101,0.914,w-282,0.332,glass,1.27,1.524
wn-88,102,0.914,w-282,0.455,glass,1.27,1.524
wn-89,104,0.914,w-282,0.537,glass,1.27,1.524
wn-90,106,0.914,w-282,0.865,glass,1.27,1.524
wn-91,107,0.914,w-282,0.947,glass,1.27,1.524
wn-92,130,0.914,w-32,0.5,glass,1.27,1.524
wn-93,131,0.914,w-32,0.749,glass,1.27,1.524
wn-94,135,0.914,w-32,0.335,glass,1.27,1.524
wn-95,158,0.686,w-103,0.274,glass,0.991,1.93
wn-96,159,0.686,w-103,0.688,glass,0.991,1.93
wn-97,160,0.686,w-111,0.688,glass,0.991,1.93
wn-98,161,0.686,w-115,0.608,glass,0.991,1.93
wn-99,167,0.686,w-106,0.274,glass,0.991,1.93
wn-100,168,0.686,w-106,0.688,glass,0.991,1.93
wn-101,173,0.686,w-108,0.274,glass,0.991,1.93
wn-102,174,0.686,w-108,0.688,glass,0.991,1.93
wn-103,157,0.87,w-267,0.864,composite,0.546,1.206
wn-104,162,0.87,w-267,0.679,composite,0.546,1.206
wn-105,163,0.87,w-267,0.3,composite,0.546,1.206
wn-106,164,0.87,w-267,0.114,composite,0.546,1.206
wn-166,80,0.914,w-1088,0.133,glass,0.457,1.118
wn-167,81,0.914,w-1088,0.315,glass,0.457,1.118
wn-168,82,0.914,w-1088,0.685,glass,0.457,1.118
wn-169,83,0.914,w-1088,0.867,glass,0.457,1.118
