id,number,base_offset,system_type,terminal_type
tm-175,336,0,,
tm-176,436,0,,
tm-177,437,0,,
tm-178,450,0,,
tm-179,451,0,,
tm-180,452,0,,
tm-181,453,0,,
tm-182,454,0,,
tm-183,455,0,,
tm-184,456,0,,
tm-185,457,0,,
tm-186,458,0,,
tm-187,459,0,,
tm-188,460,0,,
tm-962,13,0,Exhaust Air,
tm-1932,327,0,,
tm-1933,394,0,,
tm-1934,395,0,,
tm-1935,423,0,,
tm-1936,424,0,,
tm-1937,425,0,,
tm-1938,426,0,,
tm-1939,427,0,,
tm-1940,428,0,,
tm-1941,429,0,,
tm-1942,430,0,,
tm-1943,431,0,,
tm-1944,432,0,,
tm-1945,433,0,,
tm-1946,434,0.406,,
tm-1947,435,0.381,,
tm-1948,436,0.381,,
tm-1949,437,0.33,,
tm-1950,438,0.33,,
tm-1951,439,0.33,,
tm-1952,440,0.406,,
tm-1953,441,0.406,,
tm-1954,442,0.33,,
tm-1955,443,0.33,,
tm-1956,443,0,,
tm-1957,444,-0,,
tm-1958,445,0,,
tm-1959,509,-0,,
tm-1960,510,0,,
tm-1961,511,-0,,
tm-1962,512,-0,,
tm-1963,513,0,,
tm-1964,514,0,,
