id,number,base_offset,top_level_id,top_offset,material,thickness
w-390,,-0.025,,0.381,steel,0.013
w-391,,-0.025,,0.381,steel,0.013
w-392,,-0.025,,0.381,steel,0.013
w-393,,-0.025,,0.381,steel,0.013
w-394,,-0.025,,0.381,steel,0.013
w-395,,-0.025,,0.381,steel,0.013
w-396,,-0.025,,0.381,steel,0.013
w-397,,-0.025,,0.381,steel,0.013
w-398,,-0.025,,0.381,steel,0.013
w-399,,-0.025,,0.381,steel,0.013
w-400,,-0.025,,0.381,steel,0.013
w-401,,-0.025,,0.381,steel,0.013
w-402,,-0.025,,0.381,steel,0.013
w-403,,-0.025,,0.381,steel,0.013
w-404,,-0.025,,0.381,steel,0.013
w-405,,-0.025,,0.381,steel,0.013
w-406,,-0.025,,0.381,steel,0.013
w-407,,-0.025,,0.381,steel,0.013
w-408,,-0.025,,0.381,steel,0.013
w-409,,-0.025,,0.381,steel,0.013
w-410,,-0.025,,0.381,steel,0.013
w-411,,-0.025,,0.381,steel,0.013
w-412,,-0.025,,0.381,steel,0.013
w-413,,-0.025,,0.381,steel,0.013
w-414,,-0.025,,0.381,steel,0.013
w-415,,-0.025,,0.381,steel,0.013
w-416,,-0.025,,0.381,steel,0.013
w-417,,-0.025,,0.381,steel,0.013
w-418,,-0.025,,0.381,steel,0.013
w-419,,-0.025,,0.381,steel,0.013
w-420,,-0.025,,0.381,steel,0.013
w-421,,-0.025,,0.381,steel,0.013
w-422,,-0.025,,0.381,steel,0.013
w-423,,-0.025,,0.381,steel,0.013
w-424,,-0.025,,0.381,steel,0.013
w-425,,-0.025,,0.381,steel,0.013
w-426,,-0.025,,0.381,steel,0.013
w-427,,-0.025,,0.381,steel,0.013
w-428,,-0.025,,0.381,steel,0.013
w-429,,-0.025,,0.381,steel,0.013
w-430,,-0.025,,0.381,steel,0.013
w-431,,-0.025,,0.381,steel,0.013
w-432,,-0.025,,0.381,steel,0.013
w-433,,-0.025,,0.381,steel,0.013
w-434,,-0.025,,0.381,steel,0.013
w-435,,-0.025,,0.381,steel,0.013
w-436,,-0.025,,0.381,steel,0.013
w-437,,-0.025,,0.381,steel,0.013
w-438,,-0.025,,0.381,steel,0.013
w-439,,-0.025,,0.381,steel,0.013
w-440,,-0.025,,0.381,steel,0.013
w-441,,-0.025,,0.381,steel,0.013
w-442,,-0.025,,0.381,steel,0.013
w-443,,-0.025,,0.381,steel,0.013
w-444,,-0.025,,0.381,steel,0.013
w-445,,-0.025,,0.381,steel,0.013
w-446,,-0.025,,0.381,steel,0.013
w-447,,-0.025,,0.381,steel,0.013
w-448,,-0.025,,0.381,steel,0.013
w-449,,-0.025,,0.381,steel,0.013
w-450,,-0.025,,0.381,steel,0.013
w-451,,-0.025,,0.381,steel,0.013
w-452,,-0.025,,0.381,steel,0.013
