id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
c-48,,-0,lv-4,0,composite,rect,0.61,0.61
c-49,,-0,lv-4,0,composite,rect,0.61,0.61
c-50,,-0,lv-4,0,composite,rect,0.61,0.61
c-51,,-0,lv-4,0,composite,rect,0.61,0.61
c-52,,-0,lv-4,0,composite,rect,0.61,0.61
c-53,,-0,lv-4,0,composite,rect,0.61,0.61
c-54,,-0,lv-4,0,composite,rect,0.61,0.61
c-55,,0,lv-4,0,composite,rect,0.61,0.61
c-56,,0,lv-4,0,composite,rect,0.61,0.61
c-57,,0,lv-4,0,composite,rect,0.61,0.61
c-58,,0,lv-4,0,composite,rect,0.61,0.61
c-59,,0,lv-4,0,composite,rect,0.61,0.61
c-60,,0,lv-4,0,composite,rect,0.61,0.61
