id,number,base_offset,thickness,width,length,material
f-65,,-0.178,,0,0,concrete
f-66,,0.076,,0,0,concrete
f-67,,-0.178,,0,0,concrete
f-68,,0.076,,0,0,concrete
f-69,,-0.178,,0,0,concrete
f-70,,0.076,,0,0,concrete
f-71,,-0.178,,0,0,concrete
f-72,,0.076,,0,0,concrete
f-73,,-0.178,,0,0,concrete
f-74,,0.076,,0,0,concrete
f-75,,-0.178,,0,0,concrete
f-76,,0.076,,0,0,concrete
f-77,,-0.178,,0,0,concrete
f-78,,0.076,,0,0,concrete
f-79,,-0.178,,0,0,concrete
f-80,,0.076,,0,0,concrete
f-81,,-0.178,,0,0,concrete
f-82,,0.076,,0,0,concrete
f-83,,-0.178,,0,0,concrete
f-84,,0.076,,0,0,concrete
f-85,,-0.178,,0,0,concrete
f-86,,0.076,,0,0,concrete
f-87,,-0.178,,0,0,concrete
f-88,,0.076,,0,0,concrete
f-89,,-0.178,,0,0,concrete
f-90,,0.076,,0,0,concrete
