id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-55,,0,lv-32,-0.741,composite,,,
sc-56,,0,lv-32,-0.741,composite,,,
sc-57,,0,lv-32,-0.498,composite,,,
sc-58,,0,lv-32,-0.498,composite,,,
sc-59,,0,lv-32,-0.574,composite,,,
sc-60,,0,lv-32,-0.574,composite,,,
sc-61,,0,lv-32,-0.498,composite,,,
sc-62,,0,lv-32,-0.498,composite,,,
sc-63,,0,lv-32,-0.741,composite,,,
sc-64,,0,lv-32,-0.741,composite,,,
sc-65,,0,lv-32,-0.498,composite,,,
sc-66,,0,lv-32,-0.498,composite,,,
sc-67,,0,lv-32,-0.724,composite,,,
sc-68,,0,lv-32,-0.724,composite,,,
sc-69,,0,lv-32,-0.498,composite,,,
sc-70,,0,lv-32,-0.498,composite,,,
sc-71,,0,lv-32,-0.574,composite,,,
sc-72,,0,lv-32,-0.574,composite,,,
sc-73,,0,lv-32,-0.498,composite,,,
sc-74,,0,lv-32,-0.498,composite,,,
