id,number,base_offset,start_z,end_z,shape,size_x,size_y,material
bm-1,,0,-1.803,-1.803,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-2,,0,-1.803,-1.803,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-3,,0,-1.054,-1.054,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-4,,0,-1.054,-1.054,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-5,,0,0,0,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-6,,0,-1.803,-1.803,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-7,,0,-1.803,-1.803,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-8,,0,-1.803,-1.803,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-9,,0,-1.803,-1.803,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-10,,0,-1.803,-1.803,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-11,,0,-1.803,-1.803,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-12,,0,-1.803,-1.803,,0.457,0.61,"Concrete, Cast-in-Place gray"
bm-13,,0,-1.054,-1.054,,0.61,1.003,"Concrete, Cast-in-Place gray"
bm-14,,0,-1.054,-1.054,,0.61,1.003,"Concrete, Cast-in-Place gray"
bm-15,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-16,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-17,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-18,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-19,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-20,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-21,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-22,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-23,,0,-1.054,-1.054,,0.61,0.762,"Concrete, Cast-in-Place gray"
bm-24,,0,0,0,,0.61,1.308,"Concrete, Cast-in-Place gray"
bm-25,,0,0,0,,0.61,1.308,"Concrete, Cast-in-Place gray"
bm-26,,0,-1.054,-1.054,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-27,,0,-1.803,-1.803,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-28,,0,-1.054,-1.054,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-29,,0,-1.803,-1.803,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-30,,0,-1.803,-1.803,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-31,,0,-1.054,-1.054,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-32,,0,-1.054,-1.054,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-33,,0,-1.054,-1.054,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-34,,0,-1.054,-1.054,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-35,,0,-0,-0,,0.61,0.61,"Concrete, Cast-in-Place gray"
bm-36,,0,2.311,2.311,,0.191,0.46,Steel
bm-37,,0,2.311,2.311,,0.191,0.46,Steel
bm-38,,0,2.311,2.311,,,0.406,Steel
bm-39,,0,2.311,2.311,,,0.406,Steel
bm-40,,0,2.311,2.311,,,0.406,Steel
bm-41,,0,2.311,2.311,,,0.406,Steel
bm-42,,0,2.311,2.311,,,0.406,Steel
bm-43,,0,2.311,2.311,,0.191,0.46,Steel
bm-44,,0,2.311,2.311,,0.191,0.46,Steel
bm-45,,0,1.524,1.524,,0.191,0.46,Steel
bm-46,,0,1.524,1.524,,0.191,0.46,Steel
bm-47,,0,1.524,1.524,,0.191,0.46,Steel
