id,number,start_x,start_y,end_x,end_y
gr-1,1,-33.68,-15.71,-33.68,21.781
gr-2,E,-39.776,12.637,27.813,12.636
gr-3,D,-39.776,5.855,27.813,5.855
gr-4,C,-39.776,0.762,27.813,0.762
gr-5,A,-39.776,-8.395,27.813,-8.395
gr-6,B,-39.776,-3.874,27.813,-3.874
gr-7,4,-15.011,-15.71,-15.011,21.781
gr-8,5,-6.172,-15.71,-6.172,21.781
gr-9,6,1.092,-15.71,1.092,21.781
gr-10,8,12.573,-15.71,12.573,21.781
gr-11,9,22.578,-15.71,17.643,21.781
gr-12,7,7.29,-15.71,7.29,21.781
gr-13,2,-27.673,-15.71,-27.673,21.781
gr-14,3,-21.336,-15.71,-21.336,21.781
gr-15,B.1,-39.776,-1.765,27.813,-1.765
