id,number,start_x,start_y,end_x,end_y
gr-1,1,-33.6804,-15.7099,-33.6804,21.7805
gr-2,E,-39.7764,12.6365,27.813,12.6365
gr-3,D,-39.7764,5.8547,27.813,5.8547
gr-4,C,-39.7764,0.762,27.813,0.762
gr-5,A,-39.7764,-8.3947,27.813,-8.3947
gr-6,B,-39.7764,-3.8735,27.813,-3.8735
gr-7,4,-15.0114,-15.7099,-15.0114,21.7805
gr-8,5,-6.1722,-15.7099,-6.1722,21.7805
gr-9,6,1.0922,-15.7099,1.0922,21.7805
gr-10,8,12.573,-15.7099,12.573,21.7805
gr-11,9,22.57826469,-15.7099,17.64255989,21.7805
gr-12,7,7.2898,-15.7099,7.2898,21.7805
gr-13,2,-27.6733,-15.7099,-27.6733,21.7805
gr-14,3,-21.336,-15.7099,-21.336,21.7805
gr-15,B.1,-39.7764,-1.7653,27.813,-1.7653
