id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,material,length,width,thickness
8a104ef3-17e6-4cd7-a331-ca6ba63448e2-000a405d,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-28.0543,-8.9916,-13.4112,-27.2923,-8.2296,-5.7912,-27.6733,-8.6106,0,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a451e,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-6.5532,12.3444,-13.4112,-5.7912,13.1064,-5.7912,-6.1722,12.7254,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a451f,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,0.7112,12.3444,-13.4112,1.4732,13.1064,-5.7912,1.0922,12.7254,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4520,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,12.192,12.3444,-13.4112,12.954,13.1064,-5.7912,12.573,12.7254,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4521,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,2.165734259E-15,3.474944693,18.43903111,12.25086206,-13.4112,19.29397305,13.105804,-5.7912,18.86650208,12.67833303,97.5,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4522,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,6.9088,12.3444,-13.4112,7.6708,13.1064,-5.7912,7.2898,12.7254,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4523,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-28.0543,12.3444,-13.4112,-27.2923,13.1064,-5.7912,-27.6733,12.7254,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4524,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-21.717,12.3444,-13.4112,-20.955,13.1064,-5.7912,-21.336,12.7254,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4525,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-34.0614,-8.9916,-13.4112,-33.2994,-8.2296,-5.7912,-33.6804,-8.6106,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4526,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-15.3924,-8.9916,-13.4112,-14.6304,-8.2296,-5.7912,-15.0114,-8.6106,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4527,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-6.5532,-8.9916,-13.4112,-5.7912,-8.2296,-5.7912,-6.1722,-8.6106,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a4528,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,3.022638313E-18,3.474944693,-2.921,-9.6901,-13.4112,-2.159,-8.9281,-5.7912,-2.54,-9.3091,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a452a,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,1.082867129E-15,3.474944693,21.17612288,-8.539414012,-13.4112,22.03106482,-7.684472069,-5.7912,21.60359385,-8.11194304,7.5,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a452b,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,3.81,-9.6901,-13.4112,4.572,-8.9281,-5.7912,4.191,-9.3091,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a452c,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-20.0533,-8.9916,-13.4112,-19.2913,-8.2296,-5.7912,-19.6723,-8.6106,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a45ae,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-34.0614,-4.2545,-13.4112,-33.2994,-3.4925,-5.7912,-33.6804,-3.8735,360,"Concrete, Cast-in-Place gray",0,0,
2632a2eb-c20e-40b7-8fc4-4ed71ba5199d-000a45b6,30x30x25',,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,3.474944693,-34.0614,0.381,-13.4112,-33.2994,1.143,-5.7912,-33.6804,0.762,360,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6a08,36x36x24 Pile_30,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,-15.4686,-2.2225,-13.335,-14.5542,-1.3081,-5.334,-15.0114,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6a09,30x30x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,3.371040224,-15.3924,-2.1463,-13.335,-14.6304,-1.3843,-5.715,-15.0114,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6b9a,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,-21.7932,-2.2225,-13.335,-20.8788,-1.3081,-5.334,-21.336,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6b9b,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,-21.6408,-2.0701,-13.335,-21.0312,-1.4605,-5.715,-21.336,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6c53,36x36x24 Pile_24,,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,-0.1778,0.5097032387,6.8326,-2.2225,-13.335,7.747,-1.3081,-5.334,7.2898,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
965746f8-0e0c-475e-9d21-93aadfae867a-000a6c54,24x24x25',,ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,,0.0762,2.152667292,6.985,-2.0701,-13.335,7.5946,-1.4605,-5.715,7.2898,-1.7653,0,"Concrete, Cast-in-Place gray",0,0,
