id,number,name,elevation
42a41bc2-12e7-489c-96cb-c2f1ff6449f1-00000149,,L1_43_High,-1.710239703E-15
33e279c0-7506-4b11-8b15-bba7cca495fb-00007f37,,L2,2.4638
9e748b35-2e51-4170-b964-a9c0f3c563d9-0008d1b8,,L3,5.7404
9e748b35-2e51-4170-b964-a9c0f3c563d9-0008d203,,L4,9.8044
9e748b35-2e51-4170-b964-a9c0f3c563d9-0008d20a,,L5,13.8684
9e748b35-2e51-4170-b964-a9c0f3c563d9-0008d213,,R2,17.9324
ef74f80b-36f6-466f-931f-2f08bd3355e9-0008dd9e,,Parking,-5.1562
63f8d234-f38c-4508-90c8-59b76e38f488-0008eff2,,Parapet 2,21.59
be230f29-8239-4c14-8dea-73ab8498a467-00095e4f,,L2 TOS,2.3114
e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e54,,L1_37_Med,-1.0541
e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e93,,L1_35_Low,-1.8034
e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-000979c9,,M1 TOS,1.524
e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00097d9a,,M1,1.6764
7219f57e-6781-42c8-b33b-d5eee181914c-000991bb,,L3 TOS,5.588
9bb7de5c-5395-4e8d-83ae-c451a0c42cf3-000a6185,,Elevator Pit,-6.985
c690db3f-e91a-4318-8124-444acc4e5fc3-000ab495,,R2 TOS,17.78
b4c5d368-7494-4761-a26f-14c1907e582f-000acd27,,L5 TOS,13.716
e5ec655a-4113-4d0b-bb10-3b0c029608cd-000b9eb5,,L4 TOS,9.652
4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,Top of Footing,-5.334
