id,number,base_offset,top_level_id,top_offset,material
sw-12,,-1.803,lv-8,0,"Concrete, Cast-in-Place gray"
sw-13,,-1.803,lv-8,0,"Concrete, Cast-in-Place gray"
sw-14,,-1.054,lv-8,0,"Concrete, Cast-in-Place gray"
sw-15,,-1.054,lv-8,0,"Concrete, Cast-in-Place gray"
sw-16,,-1.054,lv-8,0,"Concrete, Cast-in-Place gray"
sw-23,,0,lv-8,0,"Concrete, Cast-in-Place gray"
sw-24,,0,lv-8,0,"Concrete, Cast-in-Place gray"
sw-25,,0,lv-8,0,"Concrete, Cast-in-Place gray"
sw-26,,0,lv-8,0,"Concrete, Cast-in-Place gray"
sw-51,,-5.461,lv-1,-0.864,"Concrete, Cast-in-Place gray"
sw-52,,-5.461,lv-1,-0.864,"Concrete, Cast-in-Place gray"
sw-53,,-5.461,lv-1,-0.864,"Concrete, Cast-in-Place gray"
sw-54,,-5.461,lv-1,-0.864,"Concrete, Cast-in-Place gray"
sw-55,,-5.461,lv-1,-0.864,"Concrete, Cast-in-Place gray"
sw-56,,-2.718,lv-1,-0.864,"Concrete, Cast-in-Place gray"
sw-57,,-5.461,lv-1,-2.413,"Concrete, Cast-in-Place gray"
sw-58,,-5.461,lv-1,-2.413,"Concrete, Cast-in-Place gray"
