id,number,base_offset,material,length,width,thickness
if-18,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-19,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-20,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-21,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-22,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-23,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-24,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-25,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-26,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-27,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-28,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-29,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-30,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-31,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-32,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-33,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-34,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-35,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-36,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-37,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-38,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-39,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-73,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-74,,0.076,"Concrete, Cast-in-Place gray",0,0,
if-75,,-0.178,"Concrete, Cast-in-Place gray",0,0,
if-76,,0.076,"Concrete, Cast-in-Place gray",0,0,
