id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-52,,0,lv-8,-0.741,,,,
sc-53,,0,lv-8,-0.741,,,,
sc-54,,0,lv-8,-0.498,,,,
sc-55,,0,lv-8,-0.498,,,,
sc-56,,0,lv-8,-0.574,,,,
sc-57,,0,lv-8,-0.574,,,,
sc-58,,0,lv-8,-0.498,,,,
sc-59,,0,lv-8,-0.498,,,,
sc-62,,0,lv-8,-0.741,,,,
sc-63,,0,lv-8,-0.741,,,,
sc-64,,0,lv-8,-0.498,,,,
sc-65,,0,lv-8,-0.498,,,,
sc-66,,0,lv-8,-0.724,,,,
sc-67,,0,lv-8,-0.724,,,,
sc-68,,0,lv-8,-0.498,,,,
sc-69,,0,lv-8,-0.498,,,,
sc-70,,0,lv-8,-0.574,,,,
sc-71,,0,lv-8,-0.574,,,,
sc-72,,0,lv-8,-0.498,,,,
sc-73,,0,lv-8,-0.498,,,,
