id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,top_level_id,top_offset,height,material,shape,size_x,size_y
e37453ab-55ac-464e-96ef-b2d748a679fc-00093f75,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.312013892,-21.6408,5.5499,-5.334,-21.0312,6.1595,-1.8034,-21.336,5.8547,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e93,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-00093fd3,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.590462884,-6.477,5.5499,-5.334,-5.8674,6.1595,-1.0541,-6.1722,5.8547,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e54,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-0009403c,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.590462884,6.985,5.5499,-5.334,7.5946,6.1595,-1.0541,7.2898,5.8547,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e54,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-0009407b,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.982179261,12.2682,5.5499,-5.334,12.8778,6.1595,-2.165734259E-15,12.573,5.8547,0,42a41bc2-12e7-489c-96cb-c2f1ff6449f1-00000149,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-00094096,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.496073395,6.985,-2.0701,-5.334,7.5946,-1.4605,-1.0541,7.2898,-1.7653,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e54,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-00094164,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.496073395,0.7874,-2.0701,-5.334,1.397,-1.4605,-1.0541,1.0922,-1.7653,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e54,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-0009416e,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.496073395,-6.477,-2.0701,-5.334,-5.8674,-1.4605,-1.0541,-6.1722,-1.7653,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e54,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-00094178,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.590462884,-15.3162,-2.0701,-5.334,-14.7066,-1.4605,-1.0541,-15.0114,-1.7653,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e54,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-00094184,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.217624403,-21.6408,-2.0701,-5.334,-21.0312,-1.4605,-1.8034,-21.336,-1.7653,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e93,0,,"Concrete, Cast-in-Place gray",,,
e37453ab-55ac-464e-96ef-b2d748a679fc-0009418e,CC24x24,,4c39681b-779f-4647-a694-a97d9b4603ee-000bcb27,,,0,1.217624403,-27.9781,-2.0701,-5.334,-27.3685,-1.4605,-1.8034,-27.6733,-1.7653,0,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e93,0,,"Concrete, Cast-in-Place gray",,,
