id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,points,area,material,function,thickness
e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00097c98,NW Concrete on Metal Deck,,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00097d9a,,,0,12.73210963,-30.3657,5.7277,1.524,-17.5768,12.8651,1.6764,"[[-17.5768,5.7277],[-17.5768,12.8651],[-30.3657,12.8651],[-30.3657,10.4521],[-27.5717,10.4521],[-27.5717,7.6835],[-30.3657,7.6835],[-30.3657,5.7277]]",83.54402646,"Concrete, Cast-in-Place gray",floor,0.1524
bdb1b609-ac6e-4ba6-b32d-4a65ac0ef4ab-000a269e,NW Concrete on Metal Deck,,9e748b35-2e51-4170-b964-a9c0f3c563d9-0008d1b8,,,0,23.91847909,-33.8455,-4.428540259,5.588,-15.0114,5.7023,5.7404,"[[-29.30916082,-4.428540259],[-26.93628045,0.7782705135],[-25.69973408,0.214743866],[-26.92685285,-2.477922531],[-22.72028389,-4.394966453],[-20.35793672,0.7887313033],[-19.09827733,0.2146714475],[-20.32539611,-2.477994949],[-16.04948809,-4.426638496],[-15.0114,-2.14876207],[-15.0114,5.7023],[-33.8455,5.7023],[-33.8455,0.5588],[-32.14442841,0.5588],[-33.5388428,-2.500963128]]",156.9454008,"Concrete, Cast-in-Place gray",floor,0.1524
a4ced9fb-9d2b-4959-b471-ee8544159d58-000a3967,Concrete 10,,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e93,,,0,95.97538773,-33.9852,-8.9154,-2.0574,-15.0114,13.0302,-1.8034,"[[-27.3685,7.6835],[-30.3657,7.6835],[-30.3657,6.0071],[-30.3657,5.5499],[-33.3756,5.5499],[-33.9852,5.5499],[-33.9852,-8.9154],[-15.3162,-8.9154],[-15.0114,-8.9154],[-15.0114,-8.3058],[-15.0114,-2.0701],[-15.3162,-2.0701],[-15.3162,-1.4605],[-15.0114,-1.4605],[-15.0114,5.5499],[-15.0114,5.7023],[-15.3162,5.7023],[-15.3162,13.0302],[-30.3657,13.0302],[-30.3657,10.4521],[-27.3685,10.4521]]",377.8558572,"Concrete, Cast-in-Place gray",floor,0.254
a4ced9fb-9d2b-4959-b471-ee8544159d58-000a3a77,Concrete 10,,e86e0fb0-aaef-4c8d-af36-9f1e0c4f7962-00096e54,,,0,147.2201949,-15.0114,-9.6139,-1.3081,12.2682,13.0302,-1.0541,"[[-15.0114,-8.9154],[-6.3246,-8.9154],[-6.3246,-8.3058],[-5.715,-8.3058],[-5.715,-9.6139],[12.2682,-9.6139],[12.2682,-9.0043],[12.2682,13.0302],[-12.0015,13.0302],[-12.0015,6.0071],[-12.3063,6.0071],[-14.859,6.0071],[-15.0114,6.0071],[-15.0114,5.5499],[-15.0114,-1.4605],[-14.7066,-1.4605],[-14.7066,-2.0701],[-15.0114,-2.0701],[-15.0114,-8.3058]]",579.6070666,"Concrete, Cast-in-Place gray",floor,0.254
dfa78100-f32f-45a6-9fb4-dddc93e3a134-000a3ad5,Concrete 10,,42a41bc2-12e7-489c-96cb-c2f1ff6449f1-00000149,,,0,40.39291451,12.2682,-9.6139,-0.254,21.94557063,13.0302,-1.710239703E-15,"[[15.5829,0.8763],[15.5829,-6.2865],[15.2781,-6.2865],[12.7254,-6.2865],[12.2682,-6.2865],[12.2682,-9.6139],[12.5302616,-9.6139],[21.94557063,-8.374351051],[19.12760802,13.0302],[12.2682,13.0302],[12.2682,6.1595],[12.8778,6.1595],[12.8778,5.5499],[12.2682,5.5499],[12.2682,0.8763],[15.2781,0.8763]]",159.0272225,"Concrete, Cast-in-Place gray",floor,0.254
8a104ef3-17e6-4cd7-a331-ca6ba63448e2-000a3b3a,NW Concrete on Metal Deck,,9e748b35-2e51-4170-b964-a9c0f3c563d9-0008d1b8,,,0,15.41567162,-30.3657,5.7023,5.588,-15.1638,12.8651,5.7404,"[[-15.1638,12.8651],[-21.336,12.8651],[-27.6606,12.8651],[-30.3657,12.8651],[-30.3657,10.4521],[-27.5717,10.4521],[-27.5717,7.6835],[-30.3657,7.6835],[-30.3657,5.7023],[-15.1638,5.7023]]",101.1527009,"Concrete, Cast-in-Place gray",floor,0.1524
e62ae598-d012-4038-9417-14692b034bf4-000a7edf,NW Concrete on Metal Deck,,33e279c0-7506-4b11-8b15-bba7cca495fb-00007f37,,,0,60.57779115,-15.1257,-8.5725,2.3114,15.62735,12.8651,2.4638,"[[1.143,12.8651],[-6.1722,12.8651],[-12.0015,12.8651],[-12.0015,5.7023],[-15.1257,5.7023],[-15.1257,0.762],[-15.1257,-3.8735],[-15.1257,-8.5725],[-6.0579,-8.5725],[-6.0579,-3.8735],[-6.0579,0.635],[1.143,0.635],[6.223,0.635],[12.4079,0.635],[12.4079,0.8763],[15.62735,0.8763],[15.62735,2.78765],[12.6873,2.78765],[12.6873,12.8651],[7.2964675,12.8651]]",397.4920679,"Concrete, Cast-in-Place gray",floor,0.1524
20dabff6-6a34-4506-9139-9613345ec958-000a8099,NW Concrete on Metal Deck,,9e748b35-2e51-4170-b964-a9c0f3c563d9-0008d1b8,,,0,94.2089838,-15.1257,-9.069209877,5.588,21.71212313,12.8651,5.7404,"[[-12.0015,5.7023],[-15.0114,5.7023],[-15.0114,-2.8321],[-15.1257,-2.8321],[-15.1257,-8.5725],[-6.0579,-8.5725],[-6.0579,0.6604],[0.9779,0.6604],[0.9779,-9.0678],[12.573,-9.0678],[12.573,-9.069209877],[21.71212313,-7.866021492],[18.98281921,12.8651],[0.9779,12.8651],[0.9779,8.5217],[1.1938,8.5217],[1.1938,7.0723125],[2.2606,7.0723125],[2.2606,6.2372875],[1.1938,6.2372875],[1.1938,5.7531],[-1.8542,5.7531],[-1.8542,9.00833566],[-4.216682072,9.4869],[-5.104638,9.4869],[-5.104638,8.5725],[-6.0579,8.5725],[-6.0579,12.8651],[-12.0015,12.8651]]",618.1691265,"Concrete, Cast-in-Place gray",floor,0.1524
0f347bce-4bce-4a1e-8b02-b5c9cd4b5777-000b0479,1 1/2 Metal Roof Deck NO Concrete,,63f8d234-f38c-4508-90c8-59b76e38f488-0008eff2,,,-0.4572,0.8058802936,-33.6804,6.0071,20.84942472,-30.6705,13.0302,21.1328,"[[-30.6705,6.0071],[-30.6705,7.8105],[-30.6705,10.3251],[-30.6705,13.0302],[-33.6804,13.0302],[-33.6804,6.0071]]",21.15171374,Metal Deck,floor,0.0381
8dd067d9-b76c-4be9-a85d-5da21e046ea3-000b14cb,1 1/2 Metal Roof Deck NO Concrete,,63f8d234-f38c-4508-90c8-59b76e38f488-0008eff2,,,-0.4572,0.2189006528,-30.3657,7.9375,21.01573488,-27.8257,10.1981,21.1328,"[[-30.3657,10.1981],[-30.3657,7.9375],[-27.8257,7.9375],[-27.8257,10.1981]]",5.745423957,Metal Deck,floor,0.0381
