id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,top_level_id,top_offset,height,material,thickness
sw-1,"Concrete 10""",,lv-11,,,,18.26960991,-30.6705,10.1981,-1.8034,-27.5717,10.4521,21.59,-30.5181,10.3251,-27.6987,10.3251,2.8194,lv-8,0,23.3934,"Concrete, Cast-in-Place gray",0.254
sw-2,"Concrete 10""",,lv-11,,,,14.17448262,-27.8257,7.6835,-1.8034,-27.5717,10.3251,21.59,-27.6987,10.3251,-27.6987,7.8105,2.5146,lv-8,0,23.3934,"Concrete, Cast-in-Place gray",0.254
sw-3,"Concrete 10""",,lv-15,,,,2.982117907,-30.6705,7.6835,-6.985,-27.5971,7.9375,-1.8034,-27.5971,7.8105,-30.5181,7.8105,2.921,lv-11,0,5.1816,"Concrete, Cast-in-Place gray",0.254
sw-4,"Concrete 12""",,lv-15,,,,20.09021272,-30.6705,7.8105,-6.985,-30.3657,10.4521,21.59,-30.5181,7.8105,-30.5181,10.3251,2.5146,lv-8,0,28.575,"Concrete, Cast-in-Place gray",0.3048
sw-5,"Concrete 10""",,lv-10,,,,17.53088107,-1.8542,8.2677,-1.0541,1.1938,8.5217,21.59,-1.7272,8.3947,1.0668,8.3947,2.794,lv-8,0,22.6441,"Concrete, Cast-in-Place gray",0.254
sw-6,"Concrete 10""",,lv-10,,,,14.46297688,0.9398,5.7531,-1.0541,1.1938,8.3947,21.59,1.0668,8.3947,1.0668,5.8801,2.5146,lv-8,0,22.6441,"Concrete, Cast-in-Place gray",0.254
sw-7,"Concrete 10""",,lv-10,,,,11.79295061,-1.8542,5.7531,-1.0541,1.0668,6.0071,21.59,1.0668,5.8801,-1.7272,5.8801,2.794,lv-8,0,22.6441,"Concrete, Cast-in-Place gray",0.254
sw-8,"Concrete 10""",,lv-10,,,,13.00207012,-1.8542,5.8801,-1.0541,-1.6002,8.3947,21.59,-1.7272,5.8801,-1.7272,8.3947,2.5146,lv-8,0,22.6441,"Concrete, Cast-in-Place gray",0.254
sw-9,"Concrete 12""",,lv-11,,,,10.60583892,-30.6705,5.7023,-1.8034,-30.3657,7.8105,21.59,-30.5181,7.8105,-30.5181,5.8547,1.9558,lv-8,0,23.3934,"Concrete, Cast-in-Place gray",0.3048
sw-10,"Concrete 12""",,lv-11,,,,21.43536126,-33.8328,5.7023,-1.8034,-30.5181,6.0071,21.59,-30.5181,5.8547,-33.8328,5.8547,3.3147,lv-8,0,23.3934,"Concrete, Cast-in-Place gray",0.3048
sw-11,"Concrete 12""",,lv-15,,,,25.0343538,-30.6705,10.3251,-6.985,-30.3657,13.335,21.59,-30.5181,10.3251,-30.5181,13.1826,2.8575,lv-8,0,28.575,"Concrete, Cast-in-Place gray",0.3048
sw-12,"Concrete 12""",,lv-1,,,,12.56058623,-33.9852,13.0302,-1.8034,-30.5181,13.335,21.59,-30.5181,13.1826,-33.8328,13.1826,3.3147,lv-8,0,23.3934,"Concrete, Cast-in-Place gray",0.3048
